thitran,huyen,tinh, 1, 2, 3, 4, 5
Cầu Giấy,Từ Liêm,Hà Nội,1982,1996,thành lập phường,"Phường Quan Hoa, Dịch Vọng Hậu",Quận Cầu Giấy
Cầu Gồ,Yên Thế,Bắc Giang,1994,2019,thành lập thị trấn mới,Thị trấn Phồn Xương,Huyện Yên Thế
Chi Lăng,Tịnh Biên,An Giang,1979,2023,thành lập phường,Phường Chi Lăng,Thị xã Tịnh Biên
Chợ Mới,Chợ Mới,Bắc Kạn,,2020,thành lập thị trấn mới,Thị trấn Đồng Tâm,Huyện Chợ Mới
Chơn Thành,Chơn Thành,Bình Phước,1994,2022,thành lập phường,Phường Hưng Long,Thị xã Chơn Thành
Chùa Hang,Đồng Hỷ,Thái Nguyên,1985,2019,thành lập phường,Phường Chùa Hang,Thành phố Thái Nguyên
Chư Păh,Chư Păh,Gia Lai,1985,1996,đổi tên,Thị trấn Ia Kha,Huyện Ia Grai
Cọc 5,Hồng Gai,Quảng Ninh,,1981,thành lập phường,"Phường Hồng Hà, Hồng Hải",Thành phố Hạ Long
Cọc 6,Cẩm Phả,Quảng Ninh,,1981,thành lập phường,Phường Cẩm Phú,Thành phố Cẩm Phả
Cửa Lò,Nghi Lộc,Nghệ An,1986,1994,thành lập phường,"Phường Nghi Tân, Nghi Thuỷ, Thu Thủy",Thị xã Cửa Lò
Cửa Ông,Cẩm Phả,Quảng Ninh,,1981,thành lập phường,Phường Cửa Ông,Thành phố Cẩm Phả
Dĩ An,Dĩ An,Bình Dương,1994,2011,thành lập phường,Phường Dĩ An,Thành phố Dĩ An
Duy Xuyên,Duy Xuyên,Quảng Nam - Đà Nẵng,1986,1994,thành lập thị trấn mới,Thị trấn Nam Phước,Huyện Duy Xuyên
Duyên Hải,Duyên Hải,Trà Vinh,1995,2015,thành lập phường,Phường 1,Thị xã Duyên Hải
Dương Đông,Phú Quốc,Kiên Giang,,2020,thành lập phường,Phường Dương Đông,Thành phố Phú Quốc
Đại Từ,Đại Từ,Thái Nguyên,,2013,thành lập thị trấn mới,Thị trấn Hùng Sơn,Huyện Đại Từ
Đập Đá,An Nhơn,Bình Định,1997,2011,thành lập phường,Phường Đập Đá,Thị xã An Nhơn
Điện Biên,Điện Biên,Lai Châu,,1992,thành lập phường,"Phường Mường Thanh, Him Lam",Thành phố Điện Biên Phủ
Đồ Sơn,Đồ Sơn,Hải Phòng,1980,1988,thành lập phường,"Phường Vạn Hương, Ngọc Xuyên, Hải Sơn",Quận Đồ Sơn
Đồng Nai,Cát Tiên,Lâm Đồng,1986,2013,thành lập thị trấn mới,Thị trấn Cát Tiên,Huyện Cát Tiên
Đông Triều,Đông Triều,Quảng Ninh,,2015,thành lập phường,Phường Đông Triều,Thị xã Đông Triều
Đồng Văn,Duy Tiên,Hà Nam,1984,2019,thành lập phường,Phường Đồng Văn,Thị xã Duy Tiên
Đồng Xoài,Đồng Phú,Bình Phước,1994,1999,thành lập phường,"Phường Tân Đồng, Tân Xuân, Tân Bình",Thành phố Đồng Xoài
Đức Giang,Gia Lâm,Hà Nội,1982,2003,thành lập phường,Phường Đức Giang,Quận Long Biên
Đức Phổ,Đức Phổ,Quảng Ngãi,1987,2020,thành lập phường,Phường Nguyễn Nghiêm,Thị xã Đức Phổ
Gia Lâm,Gia Lâm,Hà Nội,1961,2003,thành lập phường,"Phường Ngọc Lâm, Bồ Đề",Quận Long Biên
Gia Nghĩa,Đắk Nông,Đắk Nông,,2005,thành lập phường,"Phường Nghĩa Đức, Nghĩa Thành, Nghĩa Phú, Nghĩa Trung, Nghĩa Tân",Thành phố Gia Nghĩa
Giá Rai,Giá Rai,Bạc Liêu,1979,2015,thành lập phường,Phường 1,Thị xã Giá Rai
Giếng Đáy,Hồng Gai,Quảng Ninh,1979,1981,thành lập phường,"Phường Giếng Đáy, Hà Khẩu",Thành phố Hạ Long
Gò Công,Gò Công Đông,Tiền Giang,1979,1987,thành lập phường,"Phường 1, 2",Thành phố Gò Công
Hà Cối,Quảng Hà,Quảng Ninh,,1979,đổi tên,Thị trấn Quảng Hà,Huyện Hải Hà
Hà Lầm,Hồng Gai,Quảng Ninh,,1981,thành lập phường,"Phường Hà Lầm, Hà Trung, Hà Khánh",Thành phố Hạ Long
Hà Nam,Thanh Liêm,Hà Nam Ninh,1977,1981,thành lập phường,"Phường Hai Bà Trưng, Lương Khánh Thiện, Minh Khai, Trần Hưng Đạo, Quang Trung",Thành phố Phủ Lý
Hà Tiên,Hà Tiên,Kiên Giang,,1998,thành lập phường,"Phường Bình San, Đông Hồ, Tô Châu, Pháo Đài",Thành phố Hà Tiên
Hà Tu,Hồng Gai,Quảng Ninh,,1981,thành lập phường,"Phường Hà Tu, Hà Phong",Thành phố Hạ Long
Hải Lăng,Hải Lăng,Quảng Trị,1994,2019,thành lập thị trấn mới,Thị trấn Diên Sanh,Huyện Hải Lăng
Hải Ninh,Móng Cái,Quảng Ninh,1979,1991,thành lập phường,"Phường Ka Long, Trần Phú, Hòa Lạc",Thành phố Móng Cái
Hòa Bình,Tương Dương,Nghệ An,1989,2019,thành lập thị trấn mới,Thị trấn Thạch Giám,Huyện Tương Dương
Hòa Hiệp Trung,Đông Hòa,Phú Yên,2013,2020,thành lập phường,Phường Hòa Hiệp Trung,Thị xã Đông Hòa
Hòa Mạc,Duy Tiên,Hà Nam,1986,2019,thành lập phường,Phường Hòa Mạc,Thị xã Duy Tiên
Hòa Thành,Hòa Thành,Tây Ninh,1979,2020,thành lập phường,Phường Long Hoa,Thị xã Hòa Thành
Hòa Vinh,Đông Hòa,Phú Yên,2013,2020,thành lập phường,Phường Hòa Vinh,Thị xã Đông Hòa
Hoàng Mai,Quỳnh Lưu,Nghệ An,2006,2013,thành lập phường,Phường Quỳnh Thiện,Thị xã Hoàng Mai
Hồ,Thuận Thành,Bắc Ninh,1997,2023,thành lập phường,Phường Hồ,Thị xã Thuận Thành
Hộ Phòng,Giá Rai,Bạc Liêu,1979,2015,thành lập phường,Phường Hộ Phòng,Thị xã Giá Rai
Hồng Lĩnh,Đức Thọ,Hà Tĩnh,1981,1992,thành lập phường,Phường Bắc Hồng,Thị xã Hồng Lĩnh
Hồng Ngự,Hồng Ngự,Đồng Tháp,,2008,thành lập phường,"Phường An Lộc, An Thạnh",Thành phố Hồng Ngự
Hùng Quốc,Trà Lĩnh,Cao Bằng,1999,2020,đổi tên,Thị trấn Trà Lĩnh,Huyện Trùng Khánh
Kiến An,Kiến An,Hải Phòng,1980,1988,thành lập phường,"Phường Quán Trữ, Lãm Hà, Bắc Sơn, Trần Thành Ngọ, Ngọc Sơn, Tràng Minh, Văn Đẩu, Phù Liễn",Quận Kiến An
Kinh Môn,Kinh Môn,Hải Dương,2004,2019,thành lập phường,Phường An Lưu,Thị xã Kinh Môn
Kon Plông,Kon Plông,Kon Tum,1996,2002,đổi tên,Thị trấn Đắk Rve,Huyện Kon Rẫy
Krông Pắc,Krông Pắc,Đắk Lắk,,1996,đổi tên,Thị trấn Phước An,Huyện Krông Pắc
Kỳ Anh,Kỳ Anh,Hà Tĩnh,1986,2015,thành lập phường,Phường Hưng Trí,Thị xã Kỳ Anh
Kỳ Sơn,Kỳ Sơn,Hòa Bình,1994,2019,thành lập phường,Phường Kỳ Sơn,Thành phố Hòa Bình
La Gi,Hàm Tân,Bình Thuận,1979,2006,thành lập phường,"Phường Phước Hội, Phước Lộc",Thị xã La Gi
Lái Thiêu,Thuận An,Bình Dương,1994,2011,thành lập phường,Phường Lái Thiêu,Thành phố Thuận An
Long Mỹ,Long Mỹ,Hậu Giang,,2015,thành lập phường,"Phường Bình Thạnh, Thuận An",Thị xã Long Mỹ
Lục Nam,Lục Nam,Bắc Giang,1957,2019,sáp nhập,Thị trấn Đồi Ngô,Huyện Lục Nam
Mai Dịch,Từ Liêm,Hà Nội,1990,1996,thành lập phường,Phường Mai Dịch,Quận Cầu Giấy
Mang Yang,Mang Yang,Gia Lai,1990,2000,đổi tên,Thị trấn Đắk Đoa,Huyện Đắk Đoa
Mạo Khê,Đông Triều,Quảng Ninh,,2015,thành lập phường,Phường Mạo Khê,Thị xã Đông Triều
Minh Khai,Bạch Thông,Bắc Kạn,1990,1997,thành lập phường,Phường Nguyễn Thị Minh Khai,Thành phố Bắc Kạn
Minh Tân,Kinh Môn,Hải Dương,2004,2019,thành lập phường,Phường Minh Tân,Thị xã Kinh Môn
Mỏ Chè,Phổ Yên,Thái Nguyên,1972,1985,thành lập phường,"Phường Mỏ Chè, Châu Sơn, Thắng Lợi",Thành phố Sông Công
Móng Cái,Hải Ninh,Quảng Ninh,1964,1998,thành lập phường,"Phường Ka Long, Trần Phú, Hòa Lạc",Thành phố Móng Cái
Mộc Hóa,Mộc Hóa,Long An,,2013,thành lập phường,"Phường 1, 2",Thị xã Kiến Tường
Mông Dương,Cẩm Phả,Quảng Ninh,,1981,"thành lập xã, phường","Phường Mông Dương, Xã Cẩm Hải",Thành phố Cẩm Phả
Mường Ẳng,Tuần Giáo,Điện Biên,1997,2006,đổi tên,Thị trấn Mường Ảng,Huyện Mường Ảng
Mường Lay,Mường Lay,Điện Biên,1977,1997,sáp nhập,Xã Lay Nưa,Thị xã Mường Lay
Mường Lay,Mường Lay,Điện Biên,1997,2005,đổi tên,Thị trấn Mường Chà,Huyện Mường Chà
Mường Khến,Tân Lạc,Hòa Bình,1988,2019,thành lập thị trấn mới,Thị trấn Mãn Đức,Huyện Tân Lạc
Mỹ Phước,Bến Cát,Bình Dương,1994,2013,thành lập phường,Phường Mỹ Phước,Thành phố Bến Cát
Năm Căn,Ngọc Hiển,Minh Hải,1979,1987,thành lập xã,Xã Hàng Vịnh,Huyện Năm Căn
Neo,Yên Dũng,Bắc Giang,1994,2019,thành lập thị trấn mới,Thị trấn Nham Biền,Huyện Yên Dũng
Nếnh,Việt Yên,Bắc Giang,2003,2024,thành lập phường,Phường Nếnh,Thị xã Việt Yên
Ngã Năm,Ngã Năm,Sóc Trăng,,2013,thành lập phường,Phường 1,Thị xã Ngã Năm
Nghi Xuân,Nghi Xuân,Hà Tĩnh,1988,2019,thành lập thị trấn mới,Thị trấn Tiên Điền,Huyện Nghi Xuân
Nghĩa Đô,Từ Liêm,Hà Nội,1982,1996,thành lập phường,Phường Nghĩa Đô,Quận Cầu Giấy
Nghĩa Lộ,Văn Chấn,Yên Bái,1978,1995,thành lập phường,"Phường Pú Trạng, Tân An, Trung Tâm, Cầu Thia",Thị xã Nghĩa Lộ
Nghĩa Tân,Từ Liêm,Hà Nội,1992,1996,thành lập phường,Phường Nghĩa Tân,Quận Cầu Giấy
Nhà Bàng,Tịnh Biên,An Giang,1986,2023,thành lập phường,Phường Nhà Bàng,Thị xã Tịnh Biên
Nhồi,Đông Sơn,Thanh Hóa,2006,2012,thành lập phường,"Phường An Hoạch (2012), An Hưng (2019)",Thành phố Thanh Hóa
Ninh Bình,Hoa Lư,Hà Nam Ninh,1977,1981,thành lập phường,"Phường Tân Thành, Đông Thành, Nam Thành, Phúc Thành, Nam Bình, Bích Đào, Thanh Bình, Vân Giang",Thành phố Ninh Bình
Ninh Hòa,Ninh Hòa,Khánh Hòa,1978,2010,thành lập phường,Phường Ninh Hiệp,Thị xã Ninh Hòa
Ô Môn,Ô Môn,Cần Thơ,,2004,thành lập phường,"Phường Châu Văn Liêm, Thới Hoà",Quận Ô Môn
Phả Lại,Chí Linh,Hải Dương,,2010,thành lập phường,Phường Phả Lại,Thành phố Chí Linh
Phan Rang,Ninh Hải,Thuận Hải,1977,1981,thành lập phường,"Phường Mỹ Hương, Tấn Tài, Kinh Dinh, Thanh Sơn, Phủ Hà, Đạo Long, Đài Sơn",Thành phố Phan Rang - Tháp Chàm
Phong Thổ,Tam Đường,Lai Châu,1997,2004,thành lập phường,"Phường Quyết Thắng, Tân Phong, Đoàn Kết",Thành phố Lai Châu
Phố Mới,Quế Võ,Bắc Ninh,1995,2023,thành lập phường,Phường Phố Mới,Thị xã Quế Võ
Phú Bài,Hương Thủy,Thừa Thiên - Huế,1983,2010,thành lập phường,Phường Phú Bài,Thị xã Hương Thủy
Phú Lâm,Tuy Hòa,Phú Yên,1975,2005,thành lập phường,"Phường Phú Lâm, Phú Đông, Phú Thạnh",Thành phố Tuy Hòa
Phú Mỹ,Phú Mỹ,Bà Rịa - Vũng Tàu,1994,2019,thành lập phường,Phường Phú Mỹ,Thị xã Phú Mỹ
Phú Tân,Cái Nước,Cà Mau,1979,1991,thành lập xã,Xã Phú Tân,Huyện Phú Tân
Phú Thứ,Kinh Môn,Hải Dương,2004,2019,thành lập phường,Phường Phú Thứ,Thị xã Kinh Môn
Phúc Yên,Mê Linh,Vĩnh Phúc,1976,2003,thành lập phường,"Phường Hùng Vương, Trưng Trắc, Trưng Nhị",Thành phố Phúc Yên
Phụng Hiệp,Phụng Hiệp,Hậu Giang,,2005,thành lập phường,"Phường Ngã Bảy, Lái Hiếu, Hiệp Thành",Thành phố Ngã Bảy
Phước Bình,Phước Long,Bình Phước,1994,2019,thành lập phường,"Phường Phước Bình, Long Phước",Thị xã Phước Long
Quan Hóa,Quan Hóa,Thanh Hóa,1987,2019,thành lập thị trấn mới,Thị trấn Hồi Xuân,Huyện Quan Hóa
Quan Sơn,Quan Sơn,Thanh Hóa,2003,2019,thành lập thị trấn mới,Thị trấn Sơn Lư,Huyện Quan Sơn
Quán Toan,An Hải,Hải Phòng,1979,1993,thành lập phường,Phường Quán Toan,Quận Hồng Bàng
Quảng Oai,Ba Vì,Hà Tây,1987,1994,thành lập thị trấn mới,Thị trấn Tây Đằng,Huyện Ba Vì
Quảng Trị,Triệu Hải,Quảng Trị,1981,1989,thành lập phường,"Phường 1, 2, 3, An Đôn",Thị xã Quảng Trị
Quảng Xương,Quảng Xương,Thanh Hóa,1991,2019,thành lập thị trấn mới,Thị trấn Tân Phong,Huyện Quảng Xương
Quảng Yên,Quảng Yên,Quảng Ninh,1964,2011,thành lập phường,Phường Quảng Yên,Thị xã Quảng Yên
Quỳ Châu,Quỳ Châu,Nghệ An,1990,2010,thành lập thị trấn mới,Thị trấn Tân Lạc,Huyện Quỳ Châu
Rạch Sỏi,Châu Thành,Kiên Giang,,1988,thành lập phường,"Phường Rạch Sỏi, Vĩnh Lợi",Thành phố Rạch Giá
Sa Pa,Sa Pa,Lào Cai,,2019,thành lập phường,"Phường Cầu Mây, Sa Pa, Sa Pả, Ô Quý Hồ, Hàm Rồng, Phan Si Păng",Thị xã Sa Pa
Sài Đồng,Gia Lâm,Hà Nội,1982,2003,thành lập phường,Phường Sài Đồng,Quận Long Biên
Sao Đỏ,Chí Linh,Hải Dương,1978,2010,thành lập phường,Phường Sao Đỏ,Thành phố Chí Linh
Sầm Sơn,Quảng Xương,Thanh Hóa,1963,1981,thành lập phường,"Phường Bắc Sơn, Trường Sơn",Thành phố Sầm Sơn
Sông Cầu,Sông Cầu,Phú Yên,,2009,thành lập phường,"Phường Xuân Yên, Xuân Phú, Xuân Thành",Thị xã Sông Cầu
Sông Thao,Cẩm Khê,Phú Thọ,1995,2019,thành lập thị trấn mới,Thị trấn Cẩm Khê,Huyện Cẩm Khê
Sơn Tịnh,Sơn Tịnh,Quảng Ngãi,1987,2013,thành lập phường,Phường Trương Quang Trọng,Thành phố Quảng Ngãi
Tam Dương,Tam Dương,Vĩnh Phúc,1995,1999,thành lập phường,"Phường Đồng Tâm, Hội Hợp",Thành phố Vĩnh Yên
Tam Điệp,Tam Điệp,Hà Nam Ninh,1974,1982,thành lập phường,"Phường Bắc Sơn, Nam Sơn, Tây Sơn, Trung Sơn",Thành phố Tam Điệp
Tam Kỳ,Tam Kỳ,Quảng Nam - Đà Nẵng,,1983,thành lập phường,"Phường An Mỹ, An Sơn, An Xuân, Hòa Hương, Phước Hòa, Tân Thạnh, Trường Xuân (1983), Hòa Thuận (2005)",Thành phố Tam Kỳ
Tam Quan,Hoài Nhơn,Bình Định,1997,2020,thành lập phường,Phường Tam Quan,Thị xã Hoài Nhơn
Tào Xuyên,Hoằng Hóa,Thanh Hóa,2003,2012,thành lập phường,Phường Tào Xuyên,Thành phố Thanh Hóa
Tắc Vân,Cà Mau,Minh Hải,1975,1983,thành lập xã,Xã Tắc Vân,Thành phố Cà Mau
Tân An,Hiệp Đức,Quảng Nam,1986,2020,thành lập thị trấn mới,Thị trấn Tân Bình,Huyện Hiệp Đức
Tân Bình,Yên Sơn,Tuyên Quang,1979,2019,thành lập phường,Phường Đội Cấn,Thành phố Tuyên Quang
Tân Châu,Tân Châu,An Giang,,2009,thành lập phường,"Phường Long Thạnh, Long Hưng, Long Châu",Thị xã Tân Châu
Tân Dân,Yên Dũng,Bắc Giang,2007,2019,thành lập thị trấn mới,Thị trấn Tân An,Huyện Yên Dũng
Tân Phước Khánh,Tân Uyên,Bình Dương,1997,2013,thành lập phường,Phường Tân Phước Khánh,Thành phố Tân Uyên
Tế Tiêu,Mỹ Đức,Hà Tây,1988,2004,thành lập thị trấn mới,Thị trấn Đại Nghĩa,Huyện Mỹ Đức
Thác Mơ,Phước Long,Bình Phước,1994,2009,thành lập phường,"Phường Long Thủy, Thác Mơ",Thị xã Phước Long
Thái Hòa,Nghĩa Đàn,Nghệ An,1965,2007,thành lập phường,Phường Hòa Hiếu,Thị xã Thái Hòa
Thái Hòa,Tân Uyên,Bình Dương,2009,2013,thành lập phường,Phường Thái Hòa,Thành phố Tân Uyên
Thái Lão,Hưng Nguyên,Nghệ An,1986,1998,thành lập thị trấn mới,Thị trấn Hưng Nguyên,Huyện Hưng Nguyên
Thanh Hà,Lạc Thủy,Hòa Bình,1999,2019,thành lập thị trấn mới,Thị trấn Ba Hàng Đồi,Huyện Lạc Thủy
Thanh Nê,Kiến Xương,Thái Bình,1988,2020,thành lập thị trấn mới,Thị trấn Kiến Xương,Huyện Kiến Xương
Thanh Sơn,Sơn Động,Bắc Giang,2008,2019,thành lập thị trấn mới,Thị trấn Tây Yên Tử,Huyện Sơn Động
Tháp Chàm,An Sơn,Thuận Hải,1977,1981,thành lập phường,"Phường Đô Vinh, Bảo An, Phước Mỹ",Thành phố Phan Rang - Tháp Chàm
Thốt Nốt,Thốt Nốt,Cần Thơ,,2008,thành lập phường,Phường Thốt Nốt,Quận Thốt Nốt
Thuận An,Phú Vang,Thừa Thiên - Huế,1999,2021,thành lập phường,Phường Thuận An,Thành phố Huế
Tịnh Biên,Tịnh Biên,An Giang,2005,2023,thành lập phường,Phường Tịnh Biên,Thị xã Tịnh Biên
Tĩnh Gia,Tĩnh Gia,Thanh Hóa,1984,2020,thành lập phường,Phường Hải Hòa,Thị xã Nghi Sơn
Trà Lồng,Long Mỹ,Hậu Giang,2006,2015,thành lập phường,Phường Trà Lồng,Thị xã Long Mỹ
Trảng Bàng,Trảng Bàng,Tây Ninh,,2020,thành lập phường,Phường Trảng Bàng,Thị xã Trảng Bàng
Trới,Hoành Bồ,Quảng Ninh,,2019,thành lập phường,Phường Hoành Bồ,Thành phố Hạ Long
Tuy Hòa,Tuy Hòa,Phú Khánh,1977,1978,thành lập phường,"Phường 1, 2, 3, 4, 5, 6, 7, 8",Thành phố Tuy Hòa
Tứ Hạ,Hương Trà,Thừa Thiên - Huế,1984,2011,thành lập phường,Phường Tứ Hạ,Thị xã Hương Trà
Từ Sơn,Từ Sơn,Bắc Ninh,1959,2008,thành lập phường,Phường Đông Ngàn,Thành phố Từ Sơn
Uyên Hưng,Tân Uyên,Bình Dương,1994,2013,thành lập phường,Phường Uyên Hưng,Thành phố Tân Uyên
Vạn Hà,Thiệu Hóa,Thanh Hóa,2000,2019,thành lập thị trấn mới,Thị trấn Thiệu Hóa,Huyện Thiệu Hóa
Vị Thanh,Vị Thanh,Cần Thơ,,1999,thành lập phường,"Phường 1, 2, 3, 4",Thành phố Vị Thanh
Vĩnh Châu,Vĩnh Châu,Sóc Trăng,,2011,thành lập phường,Phường 1,Thị xã Vĩnh Châu
Vĩnh Điện,Điện Bàn,Quảng Nam,1981,2015,thành lập phường,Phường Vĩnh Điện,Thị xã Điện Bàn
Xuân Hòa,Mê Linh,Vĩnh Phúc,1976,2003,thành lập phường,"Phường Xuân Hòa, Đồng Xuân",Thành phố Phúc Yên
Xuân Lộc,Long Khánh,Đồng Nai,,2003,thành lập phường,"Phường Xuân Thanh, Xuân Trung, Xuân An, Xuân Bình, Xuân Hòa, Phú Bình và xã Bàu Trâm",Thành phố Long Khánh
